epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89799,0.72501,2.92888,1.23762,0.00607,1,0.44759,0.40938,0.24412,3.13784,0.80005,0,0,0
2,3.38432,0.65779,2.90303,1.24139,0.00602,1,0.49815,0.46113,0.23828,3.13411,0.79567,1.40071e-05,1.40071e-05,1.40071e-05
3,4.87908,0.73526,2.92256,1.21913,0.00601,1,0.55951,0.53242,0.25017,3.1334,0.7918,2.74482e-05,2.74482e-05,2.74482e-05
4,6.36987,0.65264,2.971,1.24137,0.00604,1,0.62089,0.58918,0.26701,3.13269,0.78653,4.03235e-05,4.03235e-05,4.03235e-05
5,7.97864,0.5812,2.87946,1.197,0.00609,1,0.82294,0.77568,0.27942,3.12954,0.79122,5.26329e-05,5.26329e-05,5.26329e-05
6,9.47734,0.60298,2.77818,1.24492,0.0062,1,0.82004,0.77932,0.29007,3.12385,0.79739,6.43764e-05,6.43764e-05,6.43764e-05
7,10.9272,0.50653,2.64559,1.12698,0.00639,1,0.81573,0.78382,0.30217,3.11282,0.7972,7.55541e-05,7.55541e-05,7.55541e-05
8,12.4299,0.56057,2.55403,1.12529,0.0067,1,0.98074,0.94642,0.31146,3.09212,0.79677,8.61658e-05,8.61658e-05,8.61658e-05
9,13.9728,0.56833,2.45046,1.10376,0.00699,1,0.72865,0.69337,0.32091,3.06553,0.79813,9.62117e-05,9.62117e-05,9.62117e-05
10,15.6139,0.55844,2.29732,1.12909,0.00711,1,0.68269,0.64412,0.33044,3.03205,0.79685,0.000105692,0.000105692,0.000105692
11,17.4313,0.40933,2.21085,1.06821,0.00732,1,0.66793,0.62874,0.3449,2.99589,0.79544,0.000114606,0.000114606,0.000114606
12,18.9534,0.55875,2.15115,1.12406,0.00755,1,0.65901,0.61776,0.35699,2.95261,0.80782,0.000122954,0.000122954,0.000122954
13,20.4395,0.45608,1.94438,1.03345,0.0077,1,0.65879,0.61851,0.36082,2.90089,0.80891,0.000130736,0.000130736,0.000130736
14,21.8499,0.54412,1.76206,1.09528,0.00785,1,0.65334,0.62024,0.3475,2.85592,0.80775,0.000137953,0.000137953,0.000137953
15,23.2399,0.42833,1.62599,1.0742,0.0083,1,0.65113,0.62228,0.34517,2.82512,0.808,0.000144603,0.000144603,0.000144603
16,24.6048,0.55203,1.57121,1.10083,0.00831,1,0.64837,0.62918,0.35394,2.80845,0.82086,0.000150688,0.000150688,0.000150688
17,25.9706,0.51365,1.5158,1.08182,0.00859,1,0.64779,0.63376,0.35457,2.79267,0.84716,0.000156207,0.000156207,0.000156207
18,27.329,0.37876,1.28221,0.99898,0.00859,1,0.64779,0.63376,0.35457,2.79267,0.84716,0.00016116,0.00016116,0.00016116
19,28.7033,0.45979,1.41077,0.98982,0.00854,1,0.64757,0.63276,0.35262,2.74101,0.88127,0.000165547,0.000165547,0.000165547
20,30.0598,0.43582,1.23204,1.04741,0.00854,1,0.64757,0.63276,0.35262,2.74101,0.88127,0.000169368,0.000169368,0.000169368
21,31.4125,0.49196,1.34269,1.03266,0.00811,1,0.64626,0.61331,0.37265,2.72988,0.94346,0.000172623,0.000172623,0.000172623
22,32.7286,0.48344,1.26994,1.13782,0.00811,1,0.64626,0.61331,0.37265,2.72988,0.94346,0.000175313,0.000175313,0.000175313
23,34.0861,0.4126,1.25956,1.01697,0.00828,1,0.64676,0.61105,0.38666,2.75943,0.93044,0.000177436,0.000177436,0.000177436
24,35.4599,0.37732,1.21695,0.99755,0.00828,1,0.64676,0.61105,0.38666,2.75943,0.93044,0.000178994,0.000178994,0.000178994
25,36.818,0.48598,1.18553,1.04687,0.00862,1,0.64672,0.61017,0.37457,2.78218,0.92867,0.000179985,0.000179985,0.000179985
26,38.138,0.43695,1.05067,0.98478,0.00862,1,0.64672,0.61017,0.37457,2.78218,0.92867,0.000180411,0.000180411,0.000180411
27,39.4592,0.44084,1.11191,1.07403,0.0089,1,0.64693,0.61725,0.34308,2.7904,0.86366,0.000180271,0.000180271,0.000180271
28,40.7923,0.51943,1.20292,1.03501,0.0089,1,0.64693,0.61725,0.34308,2.7904,0.86366,0.000179565,0.000179565,0.000179565
29,42.1755,0.38983,1.11165,0.97508,0.00937,1,0.64606,0.63983,0.2823,2.70924,0.81163,0.000178293,0.000178293,0.000178293
30,43.5591,0.37419,1.07869,0.92074,0.00937,1,0.64606,0.63983,0.2823,2.70924,0.81163,0.000176456,0.000176456,0.000176456
31,44.9727,0.32627,0.96789,0.9604,0.00949,1,0.64624,0.63942,0.26606,2.60759,0.79684,0.000174052,0.000174052,0.000174052
32,46.2629,0.39555,1.06419,0.96086,0.00949,1,0.64624,0.63942,0.26606,2.60759,0.79684,0.000171083,0.000171083,0.000171083
33,47.6003,0.35775,0.96059,0.88959,0.97028,0.64286,0.64692,0.63633,0.28087,2.50484,0.80398,0.000167547,0.000167547,0.000167547
34,48.9145,0.33181,1.0142,0.94963,0.97028,0.64286,0.64692,0.63633,0.28087,2.50484,0.80398,0.000163446,0.000163446,0.000163446
35,50.2423,0.40457,1.00788,0.95064,0.98866,0.54198,0.64733,0.62913,0.29201,2.39615,0.80864,0.000158779,0.000158779,0.000158779
36,51.5655,0.39225,0.91631,0.95106,0.98866,0.54198,0.64733,0.62913,0.29201,2.39615,0.80864,0.000153546,0.000153546,0.000153546
37,52.9144,0.35933,0.92012,0.93709,0.97723,0.64286,0.6483,0.63117,0.27938,2.29802,0.7916,0.000147747,0.000147747,0.000147747
38,54.2205,0.26218,0.78556,0.88514,0.97723,0.64286,0.6483,0.63117,0.27938,2.29802,0.7916,0.000141382,0.000141382,0.000141382
39,55.5601,0.40627,0.94849,1.01703,0.9738,0.64286,0.65071,0.6334,0.27753,2.23471,0.78826,0.000134452,0.000134452,0.000134452
40,56.8769,0.35293,0.89354,0.92227,0.9738,0.64286,0.65071,0.6334,0.27753,2.23471,0.78826,0.000126955,0.000126955,0.000126955
41,58.2222,0.33798,1.1717,1.03967,0.97145,0.64286,0.65441,0.63624,0.29336,2.22875,0.80059,0.000118893,0.000118893,0.000118893
42,59.5917,0.33217,1.11079,1.05507,0.97145,0.64286,0.65441,0.63624,0.29336,2.22875,0.80059,0.000110264,0.000110264,0.000110264
43,60.9568,0.28763,1.0582,0.89476,0.96624,0.64286,0.65431,0.63353,0.30248,2.22007,0.81953,0.00010107,0.00010107,0.00010107
44,62.3086,0.29473,1.03066,0.94258,0.96624,0.64286,0.65431,0.63353,0.30248,2.22007,0.81953,9.13102e-05,9.13102e-05,9.13102e-05
45,63.6297,0.22104,1.11045,0.90052,0.97165,0.64286,0.65409,0.63201,0.29882,2.14689,0.82376,8.09843e-05,8.09843e-05,8.09843e-05
46,64.9602,0.28841,1.03291,0.86849,0.97165,0.64286,0.65409,0.63201,0.29882,2.14689,0.82376,7.00924e-05,7.00924e-05,7.00924e-05
47,66.4948,0.27313,1.06291,0.92961,0.97691,0.64286,0.65389,0.63195,0.29914,2.09453,0.82654,5.86347e-05,5.86347e-05,5.86347e-05
48,67.8549,0.24945,0.99743,0.8637,0.97691,0.64286,0.65389,0.63195,0.29914,2.09453,0.82654,4.66111e-05,4.66111e-05,4.66111e-05
49,69.1875,0.30829,1.04827,0.98005,0.97966,0.64286,0.65448,0.63309,0.29304,2.03785,0.82068,3.40216e-05,3.40216e-05,3.40216e-05
50,70.4995,0.27902,0.95001,0.88106,0.97966,0.64286,0.65448,0.63309,0.29304,2.03785,0.82068,2.08663e-05,2.08663e-05,2.08663e-05
